5	33951588
15	48134287
8	144414297
20	63542572
2	108897145
7	142814673
2	72480745
17	60431221
8	10622867
18	70204107
15	25243639
11	61291395
17	30971286
17	19343762
1	159205564
14	89963405
21	41179203
1	207609544
2	73453381
17	19112513
22	40419085
6	10687513
3	188609767
1	1313807
22	46365600
8	144168385
20	31605735
22	46257062
16	31087690
15	64216564
4	158680524
12	64875267
11	100976338
1	173627134
22	46105475
17	60709264
1	1707555*
15	45099877
14	57274832
6	131851228
7	99273374
12	11092126
7	108055844
4	42001654
15	41857308
17	63940804
11	6565998
2	3643958
12	123161256
16	48224287
4	38797027
4	99318162
3	138629115
12	87986317
5	73448100
3	3156234
9	124500523
6	105373574
19	14471656
3	66500338
3	44651072
15	63661830
17	64824628
5	151338901
17	64496464
14	77459668
1	1426261
17	75272720
17	38297242
8	30845086
1	206933133
14	69236441
2	96828140
9	114347832
16	48088671
20	2117042
3	12572367
16	67231457
17	50375415
2	236214461
1	175118593
17	41503661
16	82000007
12	56361274
18	70051452
1	160681123
2	73602245
9	123158097
11	284299
11	4450046
15	52242147
15	42689608
19	33114406
10	114313937
2	191414601
16	75540132
19	55312964
16	67657765
22	24649980
1	11145001
16	2088268
7	27156494
2	74414497
16	30525351
4	6301627
14	105586985
8	80029762
1	156586529
7	5420919
10	22386928
5	132747766
7	99386776
1	207096574
1	6473333
2	219601477
1	204469515
2	219332666
3	123692742
17	3724325
10	15103856
5	37333625
19	3543399
1	156136394
1	246987438
19	4028785
3	108470146
12	22449862
11	120236702
1	35435014
3	58132828
17	81650841
2	43982338
10	54195684
16	89769915
15	90909365
4	134200446
1	35894068
1	234471252
22	42516100
15	52609087
1	156879203
10	53823145
16	672548
10	93408877
15	27951891
2	135153852
15	22613584
12	111753837
2	215408184
1	35192273
12	112022343
12	111900070
12	112265928
15	28350911
12	111599196
14	105769791
17	7851675
1	62114235
19	29701568
1	169549874
9	26892656
5	10282284
3	50159659
2	135649909
3	50289998
22	43039806
5	168423743
1	169397278
2	74529049
1	47142179
8	65708124
19	54726211
1	2056554
6	169670627
17	44074735
11	126358508
20	32798643
7	24719176
16	15561**
5	179524597
1	153040289
16	57034194
13	49709683
11	2308765
16	20549868
6	144730458
3	107377700
16	89657905
2	178780128
15	78753179
10	72508273
16	69976529
21	41452806
15	40289342
1	52784978
12	71913836
2	28929590
7	44885028
8	11558919
19	35228354
2	26430589
19	43024875
19	43198190
15	64865283
9	26116152
8	81444877
2	241202304
5	173020759
22	42142669
9	85741828
16	22251193
6	169790563
9	87973988
16	29384132
5	143041850
1	209626885
1	155058081
1	1197697
16	75694470
1	74710202
1	35760347
3	112466178
3	130405647
6	127447327
7	99548222
1	151399662
10	650297
1	29148882
3	10260488
4	74157992
14	93998143
11	64824500
14	55188974
15	28708266
17	7688850
6	170288217
20	1477265
7	16089528
8	143693701
2	100569626
11	67404265
11	61811955
15	40898791
2	173238432
2	164568327
18	72542086
2	227700940
22	43214201
22	26027014
15	68320218
